comparison_uid,gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_population,eur_coloc_type,comparison_coloc_type,eur_total_n,comparison_total_n,total_n_ratio,eur_cases,eur_controls,comparison_cases,comparison_controls,eur_effective_n,comparison_effective_n,effective_n_ratio
cmp_a6275c7613e223b1,gt_fd539737d1f5d9cb,F11,Venous thromboembolism,GBMI,AFR,cc,cc,915868.0,32508.0,0.0354941978538392,25146.0,890722.0,1466.0,31042.0,97822.37358221927,5599.5535868094,0.05724205395714509
cmp_f1d366955c52855b,gt_fd539737d1f5d9cb,F11,Venous thromboembolism,GBMI,AMR,cc,cc,915868.0,13516.0,0.014757585154192525,25146.0,890722.0,1037.0,12479.0,97822.37358221927,3829.7493341225213,0.03915003484252643
cmp_add0fff00fe30c88,gt_fd539737d1f5d9cb,F11,Venous thromboembolism,GBMI,EAS,cc,cc,915868.0,77655.0,0.08478841929186302,25146.0,890722.0,193.0,77462.0,97822.37358221927,770.0813083510399,0.007872241085049832
cmp_9d8c13f3b6460d45,gt_c2f3696fd5d03431,PNPLA3,Alanine aminotransferase,Pan-UKB,AFR,quant,quant,400822.0,6214.0,0.015503141045152212,400822.0,,6214.0,,400822.0,6214.0,0.015503141045152212
cmp_5181e0eccfa7681d,gt_c2f3696fd5d03431,PNPLA3,Alanine aminotransferase,Pan-UKB,CSA,quant,quant,400822.0,8407.0,0.02097439761290548,400822.0,,8407.0,,400822.0,8407.0,0.02097439761290548
cmp_a65923a60135b609,gt_d79e322e54d14839,GDF15,Body mass index (BMI),Pan-UKB,AFR,quant,quant,419163.0,6545.0,0.015614450702948495,419163.0,,6545.0,,419163.0,6545.0,0.015614450702948495
cmp_06c4746c5e993d05,gt_d79e322e54d14839,GDF15,Body mass index (BMI),Pan-UKB,MID,quant,quant,419163.0,1572.0,0.0037503310168120756,419163.0,,1572.0,,419163.0,1572.0,0.0037503310168120756
cmp_e3f2f647f7cf5c3c,gt_46885db53b6cf531,LEPR,Body mass index (BMI),Pan-UKB,MID,quant,quant,419163.0,1572.0,0.0037503310168120756,419163.0,,1572.0,,419163.0,1572.0,0.0037503310168120756
cmp_d9f3563910f04212,gt_e31188cc7b292717,MC4R,Body mass index (BMI),Pan-UKB,AFR,quant,quant,419163.0,6545.0,0.015614450702948495,419163.0,,6545.0,,419163.0,6545.0,0.015614450702948495
cmp_91602ff38973e5c1,gt_e31188cc7b292717,MC4R,Body mass index (BMI),Pan-UKB,CSA,quant,quant,419163.0,8646.0,0.020626820592466417,419163.0,,8646.0,,419163.0,8646.0,0.020626820592466417
cmp_795667e1dbbc5ad6,gt_e31188cc7b292717,MC4R,Body mass index (BMI),Pan-UKB,MID,quant,quant,419163.0,1572.0,0.0037503310168120756,419163.0,,1572.0,,419163.0,1572.0,0.0037503310168120756
cmp_c466933c6cddc2c2,gt_4129badd0cfdf3a3,PPARD,Body mass index (BMI),Pan-UKB,CSA,quant,quant,419163.0,8646.0,0.020626820592466417,419163.0,,8646.0,,419163.0,8646.0,0.020626820592466417
cmp_3d5d09a2a4352628,gt_4129badd0cfdf3a3,PPARD,Body mass index (BMI),Pan-UKB,MID,quant,quant,419163.0,1572.0,0.0037503310168120756,419163.0,,1572.0,,419163.0,1572.0,0.0037503310168120756
cmp_ad635d062a0cb6f4,gt_72ede56b8ff4d0df,KCNJ1,"Estimated glomerular filtration rate, serum creatinine",Pan-UKB,CSA,quant,quant,401867.0,8432.0,0.02098206620598357,401867.0,,8432.0,,401867.0,8432.0,0.02098206620598357
cmp_a496afa2fb1d58f1,gt_72ede56b8ff4d0df,KCNJ1,"Estimated glomerular filtration rate, serum creatinine",Pan-UKB,MID,quant,quant,401867.0,1502.0,0.003737554962213867,401867.0,,1502.0,,401867.0,1502.0,0.003737554962213867
cmp_6a904cea8c198f4a,gt_8af78a546ba0cf73,DGAT1,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,quant,quant,400825.0,8329.0,0.020779641988398927,400825.0,,8329.0,,400825.0,8329.0,0.020779641988398927
cmp_e15f0ef829b34627,gt_0f50d04f150328dc,GDF15,Glycated haemoglobin (HbA1c),Pan-UKB,MID,quant,quant,400825.0,1502.0,0.0037472712530406036,400825.0,,1502.0,,400825.0,1502.0,0.0037472712530406036
cmp_b64efda1167deddf,gt_08f7168b97dea82d,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,quant,quant,400825.0,8329.0,0.020779641988398927,400825.0,,8329.0,,400825.0,8329.0,0.020779641988398927
cmp_ee4314019136489d,gt_08f7168b97dea82d,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,MID,quant,quant,400825.0,1502.0,0.0037472712530406036,400825.0,,1502.0,,400825.0,1502.0,0.0037472712530406036
cmp_4ab05482f9c4b139,gt_5b728915d445b416,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,quant,quant,400825.0,8329.0,0.020779641988398927,400825.0,,8329.0,,400825.0,8329.0,0.020779641988398927
cmp_d98864543ce360b3,gt_5b728915d445b416,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,MID,quant,quant,400825.0,1502.0,0.0037472712530406036,400825.0,,1502.0,,400825.0,1502.0,0.0037472712530406036
cmp_0c0089ac5cd5de30,gt_f49766f3ae4b8a2f,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,quant,quant,400825.0,8329.0,0.020779641988398927,400825.0,,8329.0,,400825.0,8329.0,0.020779641988398927
cmp_58426512e8b1ab61,gt_f49766f3ae4b8a2f,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,MID,quant,quant,400825.0,1502.0,0.0037472712530406036,400825.0,,1502.0,,400825.0,1502.0,0.0037472712530406036
cmp_ba35246f787ddd2f,gt_f9d79082a44b2223,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,quant,quant,400825.0,8329.0,0.020779641988398927,400825.0,,8329.0,,400825.0,8329.0,0.020779641988398927
cmp_a3680a01bb140f75,gt_f9d79082a44b2223,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,MID,quant,quant,400825.0,1502.0,0.0037472712530406036,400825.0,,1502.0,,400825.0,1502.0,0.0037472712530406036
cmp_593ae8985cf9fb81,gt_dab1180e9c6840b2,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,quant,quant,400825.0,8329.0,0.020779641988398927,400825.0,,8329.0,,400825.0,8329.0,0.020779641988398927
cmp_29a6d39cecffd0ba,gt_dab1180e9c6840b2,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,MID,quant,quant,400825.0,1502.0,0.0037472712530406036,400825.0,,1502.0,,400825.0,1502.0,0.0037472712530406036
cmp_2c670ce121f4e2ed,gt_6100c7305905baed,EGLN2,Haemoglobin concentration,Pan-UKB,CSA,quant,quant,407994.0,8532.0,0.020912072236356417,407994.0,,8532.0,,407994.0,8532.0,0.020912072236356417
cmp_cdc7ff976577622c,gt_e581489a9e9ecfc2,EGLN3,Haemoglobin concentration,Pan-UKB,CSA,quant,quant,407994.0,8532.0,0.020912072236356417,407994.0,,8532.0,,407994.0,8532.0,0.020912072236356417
cmp_33e4f0a27f768357,gt_75fe57ef3df525f5,PKLR,Haemoglobin concentration,Pan-UKB,CSA,quant,quant,407994.0,8532.0,0.020912072236356417,407994.0,,8532.0,,407994.0,8532.0,0.020912072236356417
cmp_836c47786aded226,gt_709069d1feb6b869,ESR1,Heel bone mineral density (BMD),Pan-UKB,CSA,quant,quant,242809.0,2633.0,0.010843914352433395,242809.0,,2633.0,,242809.0,2633.0,0.010843914352433395
cmp_d642ad82b0d16e5e,gt_1a54193972b2aa21,SOST,Heel bone mineral density (BMD),Pan-UKB,CSA,quant,quant,242809.0,2633.0,0.010843914352433395,242809.0,,2633.0,,242809.0,2633.0,0.010843914352433395
cmp_dae661d54c93c969,gt_95af7ca2e8a7e102,ABCA1,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_d763b6b831bf0c0e,gt_1c018fe9f451c0ea,ANGPTL8,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_d17bec475888ffb1,gt_25de020ab85c0f34,APOA1,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_89cac3a7cbb61501,gt_e4eae46191577e93,APOC3,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,APOE,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_f91dafdc919ddc0c,gt_fdbaedc51aaa106f,HMGCR,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_c5f9b26ab4ae44ee,gt_5da1ad3edfdad65e,LPA,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_7e3415964666180a,gt_d690685489730e56,PCSK9,LDL direct,Pan-UKB,CSA,quant,quant,400223.0,8404.0,0.020998293451400845,400223.0,,8404.0,,400223.0,8404.0,0.020998293451400845
cmp_899b25b2a6459d69,gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,CSA,quant,quant,407265.0,8502.0,0.020875842510404773,407265.0,,8502.0,,407265.0,8502.0,0.020875842510404773
cmp_a8cdbbc6ae7dad91,gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,MID,quant,quant,407265.0,1546.0,0.0037960541662062784,407265.0,,1546.0,,407265.0,1546.0,0.0037960541662062784
cmp_08b22a91172968d8,gt_128ad7c7ffd40309,CSF3R,Neutrophill count,Pan-UKB,CSA,quant,quant,407265.0,8502.0,0.020875842510404773,407265.0,,8502.0,,407265.0,8502.0,0.020875842510404773
cmp_b2879043e48e8130,gt_128ad7c7ffd40309,CSF3R,Neutrophill count,Pan-UKB,MID,quant,quant,407265.0,1546.0,0.0037960541662062784,407265.0,,1546.0,,407265.0,1546.0,0.0037960541662062784
cmp_158459a232adb0d0,gt_0c426abe19a96c54,ENPP1,Phosphate,Pan-UKB,CSA,quant,quant,366484.0,7685.0,0.020969537551434714,366484.0,,7685.0,,366484.0,7685.0,0.020969537551434714
cmp_face308db9f33a70,gt_3ef75cbdd99b6f07,IL12B,Platelet count,Pan-UKB,AFR,quant,quant,407992.0,6281.0,0.015394909704111845,407992.0,,6281.0,,407992.0,6281.0,0.015394909704111845
cmp_1e9ae074e40e398a,gt_2fdb14cf300437e0,JAK2,Platelet count,Pan-UKB,AFR,quant,quant,407992.0,6281.0,0.015394909704111845,407992.0,,6281.0,,407992.0,6281.0,0.015394909704111845
cmp_d8eb00402944028b,gt_2fdb14cf300437e0,JAK2,Platelet count,Pan-UKB,CSA,quant,quant,407992.0,8532.0,0.02091217474852448,407992.0,,8532.0,,407992.0,8532.0,0.02091217474852448
cmp_5b2b67e88398e55b,gt_2fdb14cf300437e0,JAK2,Platelet count,Pan-UKB,EAS,quant,quant,407992.0,2632.0,0.006451106884448715,407992.0,,2632.0,,407992.0,2632.0,0.006451106884448715
cmp_480d6daf54baee46,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,AFR,quant,quant,407992.0,6281.0,0.015394909704111845,407992.0,,6281.0,,407992.0,6281.0,0.015394909704111845
cmp_090a8b2e128e603c,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,CSA,quant,quant,407992.0,8532.0,0.02091217474852448,407992.0,,8532.0,,407992.0,8532.0,0.02091217474852448
cmp_fe5114e73f9be5e8,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,EAS,quant,quant,407992.0,2632.0,0.006451106884448715,407992.0,,2632.0,,407992.0,2632.0,0.006451106884448715
cmp_88c6906de1ea612c,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,AFR,quant,quant,407992.0,6281.0,0.015394909704111845,407992.0,,6281.0,,407992.0,6281.0,0.015394909704111845
cmp_00943344950234cb,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,CSA,quant,quant,407992.0,8532.0,0.02091217474852448,407992.0,,8532.0,,407992.0,8532.0,0.02091217474852448
cmp_753051b5ab931966,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,EAS,quant,quant,407992.0,2632.0,0.006451106884448715,407992.0,,2632.0,,407992.0,2632.0,0.006451106884448715
cmp_09103f39122355d4,gt_bc3d66c41e611627,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,CSA,quant,quant,396663.0,8641.0,0.021784234980323346,396663.0,,8641.0,,396663.0,8641.0,0.021784234980323346
cmp_85dc45cb0e4ef696,gt_bc3d66c41e611627,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,EAS,quant,quant,396663.0,2600.0,0.006554682438241026,396663.0,,2600.0,,396663.0,2600.0,0.006554682438241026
cmp_29230f9b79750967,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_f0cf4964e6b5f030,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_1d49c7f6775630d1,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_44f6beefa09c6ba0,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_96ce964d4704c481,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_327b1ec26d6eee5c,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_c46c48b6b8c8c0da,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_cf4e49ee6917e9e7,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_55e72b65deff56f6,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_c19fd6087066e5ad,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_58feb2f9cd1731f6,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_dfe8569d96c5c6ef,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_e54439ed586b3a5c,gt_3de9daa3443abcc6,FGF21,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_6d7ba361d906c9f1,gt_3de9daa3443abcc6,FGF21,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_c80e5bff31014a68,gt_3de9daa3443abcc6,FGF21,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_eafab6e5a8a920a4,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_9de93e69fed596e7,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_4cecb255412bf289,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_112d8ff54d63db77,gt_44be73ebd0d0a1ce,PPARG,Triglycerides,Pan-UKB,AFR,quant,quant,400639.0,6211.0,0.015502734381825034,400639.0,,6211.0,,400639.0,6211.0,0.015502734381825034
cmp_d046571b4d69c0ca,gt_44be73ebd0d0a1ce,PPARG,Triglycerides,Pan-UKB,CSA,quant,quant,400639.0,8415.0,0.021003946195951965,400639.0,,8415.0,,400639.0,8415.0,0.021003946195951965
cmp_f27a27d52a7eddbe,gt_44be73ebd0d0a1ce,PPARG,Triglycerides,Pan-UKB,MID,quant,quant,400639.0,1499.0,0.003741522917139869,400639.0,,1499.0,,400639.0,1499.0,0.003741522917139869
cmp_8a50a9834b33764d,gt_e879daaa8470efb6,CSF3R,White blood cell (leukocyte) count,Pan-UKB,CSA,quant,quant,407990.0,8532.0,0.02091227726169759,407990.0,,8532.0,,407990.0,8532.0,0.02091227726169759
