STUDY ACCESSION	PUBMEDID	FIRST AUTHOR	DATE	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	STAGE	NUMBER OF INDIVDUALS	BROAD ANCESTRAL CATEGORY	COUNTRY OF ORIGIN	COUNTRY OF RECRUITMENT	ADDITONAL ANCESTRY DESCRIPTION
GCST005547	27777418	Wong ML	2016-10-25	203 Mexican American cases, 196 Mexican American controls	NA	initial	399	Hispanic or Latin American	Mexico	U.S.	
GCST006198	25817017	Carmona FD	2015-03-26	1,651 European ancestry cases, 15,306 European ancestry controls	NA	initial	16957	European	NR	Canada, U.S., Germany, Norway, U.K., Italy, Spain	
GCST004838	28843344	Lv WQ	2017-08-23	249,796 European ancestry individuals, 15,420 European and South Asian ancestry coronary artery disease cases, 15,062 European and South Asian controls	22,233 European ancestry cases, 64,762 European controls	replication	86995	European	NR	NR	
GCST004838	28843344	Lv WQ	2017-08-23	249,796 European ancestry individuals, 15,420 European and South Asian ancestry coronary artery disease cases, 15,062 European and South Asian controls	22,233 European ancestry cases, 64,762 European controls	initial	30482	South Asian, European	NR	NR	
GCST004838	28843344	Lv WQ	2017-08-23	249,796 European ancestry individuals, 15,420 European and South Asian ancestry coronary artery disease cases, 15,062 European and South Asian controls	22,233 European ancestry cases, 64,762 European controls	initial	249796	European	NR	NR	White European
GCST004783	28839172	Mahlman M	2017-08-24	60 Finnish ancestry cases, 114 Finnish ancestry controls	234 European ancestry cases, 25 African ancestry cases, 633 European ancestry controls, 51 African ancestry controls	initial	174	European	NR	Finland	
GCST004783	28839172	Mahlman M	2017-08-24	60 Finnish ancestry cases, 114 Finnish ancestry controls	234 European ancestry cases, 25 African ancestry cases, 633 European ancestry controls, 51 African ancestry controls	replication	867	European	NR	Canada, France, Finland	Caucasian
GCST004783	28839172	Mahlman M	2017-08-24	60 Finnish ancestry cases, 114 Finnish ancestry controls	234 European ancestry cases, 25 African ancestry cases, 633 European ancestry controls, 51 African ancestry controls	replication	76	African unspecified	NR	France	
GCST003481	27142678	Amin N	2016-05-04	1983 European ancestry individuals, 747 Erasmus Rucphen (founder/genetic isolate) individuals, 610 Korculan (founder/genetic isolate) individuals, 696 Tyrolean (founder/genetic isolate) individuals, 206 Orcadian (founder/genetic isolate) individuals	30,377 European ancestry individuals	initial	4242	European	NR	Italy, Netherlands, Germany, U.K., Croatia, Estonia	
GCST003481	27142678	Amin N	2016-05-04	1983 European ancestry individuals, 747 Erasmus Rucphen (founder/genetic isolate) individuals, 610 Korculan (founder/genetic isolate) individuals, 696 Tyrolean (founder/genetic isolate) individuals, 206 Orcadian (founder/genetic isolate) individuals	30,377 European ancestry individuals	replication	30377	European	NR	U.S., Australia, Netherlands, Croatia, Estonia	
GCST003816	27758888	Ingle JN	2016-10-10	6 African American recurrent cases, 134 African American controls without recurrence, 243 European ancestry recurrent cases, 4,216 European ancestry controls without recurrence, 3 Asian ancestry recurrent cases, 56 Asian ancestry controls without recurrence	NA	initial	4459	European	NR	NR	
